UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Kevmeistah,@kevmeistah,2022-01-03T23:23:28.000Z,"Kevmeistah
@kevmeistah
·
4 Jan 2022","@CocaCola
 What’s with no Pibb Xtra on store shelves? It hasn’t been restocked in MONTHS in Indianapolis area & that’s no exaggeration. Aluminum shortage is no excuse if you have enough for new orange vanilla flavors & this new coffee coke. Take care of your current customers!!!!!",,,,,[],https://twitter.com/kevmeistah/status/1478145013532209152
I AM JOEL,@DJoelAdebayoLaw,2022-01-03T23:22:41.000Z,"I AM JOEL
@DJoelAdebayoLaw
·
4 Jan 2022","Replying to 
@nosafk
Ad secondly hope you know coca-cola is an international company that doesn't actually belong to a y Yoruba person, and that company is Benin a non-yoruba state and they'd chase peeps out if they are not yoruba.

You're not yoruba, and yet you worked there?

What gives??
1",,1,,,[],https://twitter.com/DJoelAdebayoLaw/status/1478144815128887296
Gatekeepers News,@gatekeepers_ng,2022-01-03T23:18:19.000Z,"Gatekeepers News
@gatekeepers_ng
·
4 Jan 2022","Recruitment: Apply For Coca Cola Recruitment 2022
gatekeepersnews.com
Recruitment: Apply For Coca Cola Recruitment 2022
Recruitment, apply for Coca Cola recruitment 2022 below. Gatekeepers News reports that Coca Cola is a beverage company that has interests in the manufacturing, retailing, and marketing of nonalcoho...",,,,,[],https://twitter.com/gatekeepers_ng/status/1478143716271529988
j𖧷ssa,@jessaranghaeso,2022-01-03T23:16:33.000Z,"j𖧷ssa
@jessaranghaeso
·
4 Jan 2022","@CocaCola
 bestie u better claim ur position here
Dea𖧷 | Fan Account
@Daeunshi
·
3 Jan 2022
Carats
Show this thread",😭 😭,,,,"['https://pbs.twimg.com/profile_images/1522851747965726720/bcODQRmZ_mini.jpg', 'https://pbs.twimg.com/media/FIKv57NVUAAvkaa?format=jpg&name=small']",https://twitter.com/jessaranghaeso/status/1478143274586042368
Black Jack,@mypotatosweet,2022-01-03T23:13:59.000Z,"Black Jack
@mypotatosweet
·
4 Jan 2022","When Coca-Cola began to be sold in China, they used characters that would sound like ""Coca-Cola"" when spoken. Unfortunately, what they turned out to mean was ""Bite the wax tadpole"".",,,,,[],https://twitter.com/mypotatosweet/status/1478142627761766400
mel,@melbeeing,2022-01-03T23:13:19.000Z,"mel
@melbeeing
·
4 Jan 2022",I’m really about to google “coca cola statement on plastic?” like ok what’s this bitch got to say for herself?,🐝,,,,['https://pbs.twimg.com/media/FINqu90XEAQYoPY?format=jpg&name=small'],https://twitter.com/melbeeing/status/1478142460761153540
Joseph Murphy,@CyberMurph_,2022-01-03T23:12:23.000Z,"Joseph Murphy
@CyberMurph_
·
4 Jan 2022","Super cool! 
@CocaCola",,,,,['https://pbs.twimg.com/media/FINqhMGXoAISmzh?format=jpg&name=900x900'],https://twitter.com/CyberMurph_/status/1478142223644569604
,,2022-01-03T23:13:19.000Z,,,🐝,,,,['https://pbs.twimg.com/media/FINqu90XEAQYoPY?format=jpg&name=small'],https://twitter.com/melbeeing/status/1478142460761153540
,,2022-01-03T23:12:23.000Z,,,,,,,['https://pbs.twimg.com/media/FINqhMGXoAISmzh?format=jpg&name=900x900'],https://twitter.com/CyberMurph_/status/1478142223644569604
,,2022-01-03T23:12:11.000Z,,,,,,,['https://pbs.twimg.com/media/FINqeYOX0AIqXYs?format=jpg&name=small'],https://twitter.com/fusion_racing_/status/1478142175137382402
,,2022-01-03T23:06:53.000Z,,,,,,,[],https://twitter.com/JohlTv/status/1478140838643482624
,,2022-01-03T23:05:00.000Z,,,,,,,[],https://twitter.com/fjadotca/status/1478140365534375936
,,2022-01-03T23:04:36.000Z,,,😩 😢 🥺,,,,[],https://twitter.com/beautifulljas_x/status/1478140264367730693
,,2022-01-03T23:00:29.000Z,,,,,,,[],https://twitter.com/matthew_podszus/status/1478139229406437379
,,2022-01-03T23:00:02.000Z,,"gostanford.com
The Farm Report: January 3
2
2",,,2,2,['https://pbs.twimg.com/ad_img/1478115407026266112/s0rzMC5R?format=jpg&name=small'],https://twitter.com/GoStanford/status/1478139114809487360
wvuinporto,@wvuinporto,2022-01-03T22:58:29.000Z,"wvuinporto
@wvuinporto
·
4 Jan 2022",Pedro went to the Praca and ate a special hotdog and drank Coca Cola.,,,,,[],https://twitter.com/wvuinporto/status/1478138724898672640
Eric Walker,@saltyposaune,2022-01-03T22:57:05.000Z,"Eric Walker
@saltyposaune
·
4 Jan 2022","Replying to 
@tiffanee_dawn
I thought it would be a lot worse than it has been... Coca-Cola and Christmas candy to the rescue lol
1",,,,1,[],https://twitter.com/saltyposaune/status/1478138373860560897
naomicampbellsngwana,@blessingezeh_,2022-01-03T22:57:04.000Z,"naomicampbellsngwana
@blessingezeh_
·
4 Jan 2022","Throwback to the Coca-Cola shoot I directed together with 
@nonyeezeh_
 
Be on the lookout for our next big project!! 
And always remember, with Him anything is possible.
•
•
Shot by: germphotostudio (IG)
Inspired by fits from: 
@CocaCola_ZA
 and the Mrp Store
2",,,,2,"['https://pbs.twimg.com/media/FINm3iBXsAYK9i3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FINm3iBWYAEkkGV?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FINm3iAXoAU1wQL?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FINm3lPWYAU_8or?format=jpg&name=360x360']",https://twitter.com/blessingezeh_/status/1478138367833518082
MOANA,@MiraOakh,2022-01-03T22:55:06.000Z,"MOANA
@MiraOakh
·
4 Jan 2022","Replying to 
@nosafk
My brother I don't know the hotel you worked in benin or when you worked at Coca-Cola that you were segregated by tribe.  First Edo state is a state that sees everyone as equal, tribe doesn't have a sit . No tribalism in benin. Secondly Edo state is not a yoruba speaking state .
1",,1,,,[],https://twitter.com/MiraOakh/status/1478137875170476037
(not Karen),@CaresTinder,2022-01-03T22:54:16.000Z,"(not Karen)
@CaresTinder
·
4 Jan 2022","No more Coca-Cola or food delivery. #MyResolutionInSixWords
I broke the food delivery yesterday and the Coca-Cola today.",☪ ⛺ ® 🍸 🎵,,,,[],https://twitter.com/CaresTinder/status/1478137663920214019
,,2022-01-03T22:54:05.000Z,,,📌,,,,[],https://twitter.com/wonuella/status/1478137620022579200
,,2022-01-03T22:53:51.000Z,,,,,,,[],https://twitter.com/SSigvardt/status/1478137560757116936
,,2022-01-03T22:52:28.000Z,,,❤,,,,[],https://twitter.com/HHertje/status/1478137213317701640
,,2022-01-03T22:51:58.000Z,,,👑 💜 🔥,,,,[],https://twitter.com/V7ctor007/status/1478137085689225222
,,2022-01-03T22:49:09.000Z,,,,,,,[],https://twitter.com/Nowh3r3__/status/1478136375681732615
,,2022-01-03T22:48:59.000Z,,,,,,,[],https://twitter.com/beckyjewell/status/1478136336427085830
,,2022-01-03T22:48:04.000Z,,,🦑,,,,[],https://twitter.com/hawksmnbr/status/1478136106487099395
,,2022-01-03T22:46:24.000Z,,,,,,,[],https://twitter.com/IfeanyiAbraham/status/1478135687241248772
,,2022-01-03T22:45:12.000Z,,,,,,,['https://pbs.twimg.com/card_img/1617039007212531720/7vjHWVZl?format=png&name=small'],https://twitter.com/TownsendRosa/status/1478135382260822024
,,2022-01-03T22:44:18.000Z,,,,,,,[],https://twitter.com/BerzerkerDr/status/1478135158913978368
,,2022-01-03T22:44:04.000Z,,,,,,,[],https://twitter.com/CulpeperSE/status/1478135097849176064
,,2022-01-03T22:43:07.000Z,,,,,,,[],https://twitter.com/ninenox9/status/1478134860975910914
,,2022-01-03T22:42:48.000Z,,,,,,,[],https://twitter.com/LGJ2020/status/1478134778176102406
,,2022-01-03T22:39:48.000Z,,,,,,,[],https://twitter.com/forexoteen/status/1478134025835335680
,,2022-01-03T22:36:44.000Z,,,,,,,[],https://twitter.com/eyezaeyuhh/status/1478133254762942465
,,2022-01-03T22:36:41.000Z,,"4
4
39",,4,4,39,['https://pbs.twimg.com/media/FINiSmqVIAAGSsj?format=jpg&name=small'],https://twitter.com/GraciesWorld3/status/1478133239814385664
,,2022-01-03T22:31:01.000Z,,,,,,,"['https://pbs.twimg.com/media/FINhC-mVEAEP21W?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FINhDIgVQAAa7Sw?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FINhDSiVQAA1iO8?format=jpg&name=360x360']",https://twitter.com/lunaclassicfan/status/1478131813641953281
,,2022-01-03T22:28:59.000Z,,,,,,,"['https://pbs.twimg.com/media/FINglcNUYAEHb4N?format=png&name=360x360', 'https://pbs.twimg.com/media/FINglalUYAAqxkz?format=png&name=360x360']",https://twitter.com/CharEnjoyFood/status/1478131300556939265
,,2022-01-03T22:27:27.000Z,,,💙 💛,,,,[],https://twitter.com/greenfishertwit/status/1478130918174994441
,,2022-01-03T22:27:23.000Z,,,,,,,[],https://twitter.com/MarkSmith624/status/1478130900441391110
,,2022-01-03T22:23:47.000Z,,,☺ 😤,,,,['https://pbs.twimg.com/profile_images/1609497728442138625/It3QANLL_mini.jpg'],https://twitter.com/Cate_mutuku_/status/1478129993649692683
,,2022-01-03T22:22:59.000Z,,,,,,,[],https://twitter.com/DBSKJae86_/status/1478129793422209027
,,2022-01-03T22:21:41.000Z,,,💀,,,,[],https://twitter.com/CaballoEnano/status/1478129466090135553
,,2022-01-03T22:21:20.000Z,,,,,,,[],https://twitter.com/CeciliaCBlank/status/1478129378659868675
,,2022-01-03T22:20:54.000Z,,,,,,,[],https://twitter.com/SlasherMask666/status/1478129270094503938
,,2022-01-03T22:20:02.000Z,,,,,,,[],https://twitter.com/softloveni/status/1478129048811446275
,,2022-01-03T22:19:27.000Z,,,,,,,[],https://twitter.com/jujulogs/status/1478128901197078531
,,2022-01-03T22:15:08.000Z,,,,,,,[],https://twitter.com/the_veitch/status/1478127818240413698
,,2022-01-03T22:14:53.000Z,,2,,,,2,['https://pbs.twimg.com/media/FINdW4rVUAAttU6?format=png&name=small'],https://twitter.com/CombinationFood/status/1478127753337905155
environmental footprints,@carboncompanies,2022-01-03T22:13:52.000Z,"environmental footprints
@carboncompanies
·
4 Jan 2022",Greetings eco-friendlies! Today we have everyone's favorite polluting company Coca Cola is partially responsible for HALF A MILLION tonnes of plastic pollution! You'll never guess that  carbon footprints are important!  Follow for more daily environmental facts!,😖,,,,[],https://twitter.com/carboncompanies/status/1478127499913486340
