Username,Tweet URL,Timestamp,Comments,Likes,Retweets,Quotes,emoji_sent,neg,neu,pos,compound,word_token
CyclopsEye1984,https://twitter.com/CyclopsEye1984/status/1477840330347134979,2022-01-03,0,1,0,0,0.0,0.0,0.0,0.0,0.0,"continu,far,cri,twitch,twitchaffili,stream,game,videogam,libertad,war,soni,shooter,fp,countri,shoot,singleplay,campaign,streamer,videogam"
tlillis4,https://twitter.com/tlillis4/status/1478485344144310275,2022-01-04,0,1,0,0,0.442,0.0,0.0,0.0,0.0,"hackingdav,merci,son,play,fortnit,straightforward,alway,heartburn,purchas,xbox"
mr_comar12,https://twitter.com/mr_comar12/status/1478476806974054414,2022-01-04,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"hope,everyon,scalp,die"
BonesRealest,https://twitter.com/BonesRealest/status/1478470166719746053,2022-01-04,0,1,0,0,0.0,0.0,0.0,0.0,0.0,"ca,wait,home,watch,harrypott,know,kid,wan,na,play,goin,foe,year,love,doe"
iSleepyyGamerr,https://twitter.com/iSleepyyGamerr/status/1478465269337104385,2022-01-04,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"definit,check,deep,rock,galact"
Fiesta_Bowl,https://twitter.com/Fiesta_Bowl/status/1478458083747643393,2022-01-04,4,35,11,4,0.0,0.0,0.0,0.0,0.0,"fiestabowl,special,guest,phxchildren,year,attend,virtual,develop,ohmnilab,robot,donat,friendsofpch,grant,fiestabowl,chariti,allow,young,fan,give,virtual,team"
KeelaJackson,https://twitter.com/KeelaJackson/status/1478457542783160320,2022-01-04,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"need,spend,time,play,spyro"
spencershih,https://twitter.com/spencershih/status/1478447339027058688,2022-01-04,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"unclechap,shoulda,player,fiesta,bowl"
CUNN1NGL1NGU1ST,https://twitter.com/CUNN1NGL1NGU1ST/status/1478391245894524931,2022-01-04,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"sportscent,thousand,ive,look,one,year,fuck,fuck,hard,regular,folk,playstationplu"
BateauxFC,https://twitter.com/BateauxFC/status/1478360474207105029,2022-01-04,1,10,2,0,0.7175,0.0,0.0,0.0,0.0,"icymi,group,pick,lowerleagueecup,yesterday,tyekreutzfeldt,xbox,premier,premier,div,ii,tkaakani,rocket,leagu,forthevalley"
